filename,width,height,class,xmin,ymin,xmax,ymax
aug_WIN_20260527_19_06_38_Pro_jpg.rf.d5gUOxlqt3q3id4xRIt0.jpg,1920,1080,CocaCola,668,184,859,706
WIN_20260527_18_53_10_Pro_jpg.rf.v8fR9FDDAT60rJghu67J.jpg,1920,1080,CocaCola,329,169,611,919
aug_WIN_20260527_19_05_06_Pro_jpg.rf.d7RQRxuGHYc1x1V1beNX.jpg,1920,1080,CocaCola,888,174,1112,774
WIN_20260527_18_53_15_Pro_jpg.rf.y1SkYmsa3ro9AgEX0TnT.jpg,1920,1080,CocaCola,695,129,1036,1079
WIN_20260527_18_51_57_Pro_jpg.rf.z6sECZYzy6aSDFmJm07e.jpg,1920,1080,CocaCola,1011,586,1304,958
aug_WIN_20260527_19_05_13_Pro_jpg.rf.eEXxPEJ4PPP0vkpKZBLk.jpg,1920,1080,CocaCola,1225,172,1471,803
WIN_20260527_18_51_14_Pro_jpg.rf.yupQ6a1XVLvSD95rNC2P.jpg,1920,1080,CocaCola,427,212,649,796
aug_WIN_20260527_19_06_31_Pro_jpg.rf.eqhbMYdpV2UPGgaHbTTv.jpg,1920,1080,CocaCola,1017,161,1260,812
aug_WIN_20260527_19_06_09_Pro_jpg.rf.cayo2N7B1TrC2ethrZAZ.jpg,1920,1080,CocaCola,722,177,926,743
WIN_20260527_18_46_52_Pro_jpg.rf.3cKHKdlbN2D7giuy2C3v.jpg,1920,1080,CocaCola,1021,203,1273,866
WIN_20260527_18_46_17_Pro_jpg.rf.28MFhVDDX7FJLoQ4rJsA.jpg,1920,1080,CocaCola,486,668,1252,987
WIN_20260527_18_38_01_Pro_jpg.rf.As1fhawlaIzXYnJvx54n.jpg,1920,1080,CocaCola,1601,177,1904,882
aug_WIN_20260527_19_07_52_Pro_jpg.rf.fZMdxFSM824wO7Nu6hyA.jpg,1920,1080,CocaCola,1273,145,1556,874
WIN_20260527_18_45_55_Pro_jpg.rf.9E3BSKUOC1Wf7XMB72Oh.jpg,1920,1080,CocaCola,868,193,1163,973
aug_WIN_20260527_19_07_23_Pro_jpg.rf.dTtQt1liO8mPQLxQv0CT.jpg,1920,1080,CocaCola,788,161,1015,796
